Label Value,Code,Description
170706 Preparation of black coal,170706,
170707 Preparation of brown coal (lignite),170707,
170708 Preparation of oil shale and tar sands,170708,
170709 Preparation of uranium,170709,
170799 Processing of energy sources not elsewhere classified,170799,
1708 Renewable energy,1708,"This group covers R&D directed towards the conversion of renewable energy resources into heat, steam or electricity, and improving the generation and supply of renewable energy."
170801 Biofuel energy,170801,
170802 Geothermal energy,170802,
170803 Hydro-electric energy,170803,
170804 Solar-photovoltaic energy,170804,
170805 Solar-thermal energy,170805,
170806 Tidal energy,170806,
170807 Wave energy,170807,
170808 Wind energy,170808,
170899 Renewable energy not elsewhere classified,170899,
1799 Other energy,1799,This group covers R&D directed towards energy activities not elsewhere classified.
179999 Other energy not elsewhere classified,179999,
18 Environmental management,18,"This Division covers R&D directed towards the understanding, management and improvement of the physical environment, both of pristine and degraded or altered conditions."
"1801 Air quality, atmosphere and weather",1801,"This group covers R&D directed towards understanding the dynamics of atmospheric and weather systems, and improvement of air quality."
180101 Air quality,180101,
180102 Atmospheric composition (incl. greenhouse gas inventory),180102,
180103 Atmospheric processes and dynamics,180103,
180104 Weather,180104,
"180199 Air quality, atmosphere and weather not elsewhere classified",180199,
1802 Coastal and estuarine systems and management,1802,"This group covers R&D directed towards the understanding and management of coastal and estuarine environments. It includes: biodiversity; control of pests, diseases and exotic species; water quality and; rehabilitation or conservation."
180201 Assessment and management of coastal and estuarine ecosystems,180201,
180202 Coastal erosion,180202,
180203 Coastal or estuarine biodiversity,180203,
"180204 Control of pests, diseases and exotic species in coastal and estuarine environments",180204,
180205 Measurement and assessment of estuarine water quality,180205,
180206 Rehabilitation or conservation of coastal or estuarine environments,180206,
180299 Coastal and estuarine systems and management not elsewhere classified,180299,
"1803 Fresh, ground and surface water systems and management",1803,"This group covers R&D directed towards the understanding and management of fresh, ground and surface water environments. It includes: biodiversity; control of pests, diseases and exotic species; water quality; depletion and; rehabilitation or conservation."
180301 Assessment and management of freshwater ecosystems,180301,
"180302 Control of pests, diseases and exotic species in fresh, ground and surface water",180302,
"180303 Fresh, ground and surface water biodiversity",180303,
180304 Freshwater assimilative capacity,180304,
"180305 Ground water quantification, allocation and impact of depletion",180305,
180306 Measurement and assessment of freshwater quality (incl. physical and chemical conditions of water),180306,
"180307 Rehabilitation or conservation of fresh, ground and surface water environments",180307,
"180308 Surface water quantification, allocation and impact of depletion",180308,
"180399 Fresh, ground and surface water systems and management not elsewhere classified",180399,
1804 Management of Antarctic and Southern Ocean environments,1804,"This group covers R&D directed towards the understanding and management of Antarctic and Southern Ocean environments. It includes: biodiversity; control of pests, diseases and exotic species; water quality and; rehabilitation or conservation."
