Label Value,Code,Description
350804 Tourism marketing,350804,
350805 Tourism resource appraisal,350805,
350806 Tourist behaviour and visitor experience,350806,
350899 Tourism not elsewhere classified,350899,
"3509 Transportation, logistics and supply chains",3509,"This group covers transportation, logistics and supply chains."
350901 Air transportation and freight services,350901,
350902 Intelligent mobility,350902,
350903 Logistics,350903,
350904 Maritime transportation and freight services,350904,
350905 Passenger needs,350905,
350906 Public transport,350906,
350907 Rail transportation and freight services,350907,
350908 Road transportation and freight services,350908,
350909 Supply chains,350909,
"350999 Transportation, logistics and supply chains not elsewhere classified",350999,
"3599 Other commerce, management, tourism and services",3599,"This group covers commerce, management, tourism and services not elsewhere classified."
"359999 Other commerce, management, tourism and services not elsewhere classified",359999,
36 Creative arts and writing,36,This division covers the creative arts and writing.
"3601 Art history, theory and criticism",3601,"This group covers art history, theory and criticism."
360101 Art criticism,360101,
360102 Art history,360102,
360103 Art theory,360103,
360104 Visual cultures,360104,
"360199 Art history, theory and criticism not elsewhere classified",360199,
3602 Creative and professional writing,3602,This group covers professional and creative writing.
360201 Creative writing (incl. scriptwriting),360201,
360202 Digital writing,360202,
360203 Professional writing and journalism practice,360203,
360204 Site-based writing,360204,
360205 Technical writing,360205,
360299 Creative and professional writing not elsewhere classified,360299,
3603 Music,3603,This group covers music.
360301 Music cognition,360301,
360302 Music composition and improvisation,360302,
360303 Music education,360303,
360304 Music performance,360304,
360305 Music technology and recording,360305,
360306 Musicology and ethnomusicology,360306,
360399 Music not elsewhere classified,360399,
3604 Performing arts,3604,This group covers performing arts.
360401 Applied theatre,360401,
360402 Dance and dance studies,360402,
"360403 Drama, theatre and performance studies",360403,
360499 Performing arts not elsewhere classified,360499,
3605 Screen and digital media,3605,This group covers screen and digital media.
360501 Cinema studies,360501,
360502 Computer gaming and animation,360502,
360503 Digital and electronic media art,360503,
360504 Interactive media,360504,
360505 Screen media,360505,
360506 Visual effects,360506,
360599 Screen and digital media not elsewhere classified,360599,
3606 Visual arts,3606,This group covers visual arts.
360601 Crafts,360601,
360602 Fine arts,360602,
360603 Performance art,360603,
"360604 Photography, video and lens-based practice",360604,
360699 Visual arts not elsewhere classified,360699,
3699 Other creative arts and writing,3699,This group covers studies in creative arts and writing not elsewhere classified.
369999 Other creative arts and writing not elsewhere classified,369999,
37 Earth sciences,37,This division covers the earth sciences.
3701 Atmospheric sciences,3701,This group covers atmospheric sciences.
370101 Adverse weather events,370101,
370102 Air pollution processes and air quality measurement,370102,
370103 Atmospheric aerosols,370103,
"370104 Atmospheric composition, chemistry and processes",370104,
370105 Atmospheric dynamics,370105,
370106 Atmospheric radiation,370106,
370107 Cloud physics,370107,
370108 Meteorology,370108,
370109 Tropospheric and stratospheric physics,370109,
370199 Atmospheric sciences not elsewhere classified,370199,
3702 Climate change science,3702,This group covers climate change science.
370201 Climate change processes,370201,
370202 Climatology,370202,
370203 Greenhouse gas inventories and fluxes,370203,
370299 Climate change science not elsewhere classified,370299,
3703 Geochemistry,3703,This group covers geochemistry.
370301 Exploration geochemistry,370301,
370302 Inorganic geochemistry,370302,
370303 Isotope geochemistry,370303,
370304 Organic geochemistry,370304,
370399 Geochemistry not elsewhere classified,370399,
3704 Geoinformatics,3704,This group covers geoinformatics.
370401 Computational modelling and simulation in earth sciences,370401,
370402 Earth and space science informatics,370402,
370403 Geoscience data visualisation,370403,
370499 Geoinformatics not elsewhere classified,370499,
3705 Geology,3705,"This group covers geology.
It includes palaeontology, including palaeozoology, palaeobotany and palynology, other than that associated with palaeoecological studies."
370501 Biomineralisation,370501,
370502 Geochronology,370502,
370503 Igneous and metamorphic petrology,370503,
