Label Value,Code,Description
920102 Cancer and Related Disorders,920102,
920103 Cardiovascular System and Diseases,920103,
920104 Diabetes,920104,
920105 Digestive System Disorders,920105,
920106 Endocrine Organs and Diseases (excl. Diabetes),920106,
"920107 Hearing, Vision, Speech and Their Disorders",920107,
920108 Immune System and Allergy,920108,
920109 Infectious Diseases,920109,
920110 Inherited Diseases (incl. Gene Therapy),920110,
920111 Nervous System and Disorders,920111,
920112 Neurodegenerative Disorders Related to Ageing,920112,
920113 Oro-Dental Disorders,920113,
920114 Reproductive System and Disorders,920114,
920115 Respiratory System and Diseases (incl. Asthma),920115,
920116 Skeletal System and Disorders (incl. Arthritis),920116,
920117 Skin and Related Disorders,920117,
920118 Surgical Methods and Procedures,920118,
920119 Urogenital System and Disorders,920119,
920120 Zoonoses,920120,
"920199 Clinical Health (Organs, Diseases and Abnormal Conditions) not elsewhere classified",920199,
920201 Allied Health Therapies (excl. Mental Health Services),920201,
920202 Carer Health,920202,
920203 Diagnostic Methods,920203,
920204 Evaluation of Health Outcomes,920204,
920205 Health Education and Promotion,920205,
920206 Health Inequalities,920206,
920207 Health Policy Economic Outcomes,920207,
920208 Health Policy Evaluation,920208,
920209 Mental Health Services,920209,
920210 Nursing,920210,
920211 Palliative Care,920211,
920299 Health and Support Services not elsewhere classified,920299,
920301 Aboriginal and Torres Strait Islander Health - Determinants of Health,920301,
920302 Aboriginal and Torres Strait Islander Health - Health Status and Outcomes,920302,
920303 Aboriginal and Torres Strait Islander Health - Health System Performance (incl. Effectiveness of Interventions),920303,
920304 Māori Health - Determinants of Health,920304,
920305 Māori Health - Health Status and Outcomes,920305,
920306 Māori Health - Health System Performance (incl. Effectiveness of Interventions),920306,
920307 Pacific Peoples Health - Determinants of Health,920307,
920308 Pacific Peoples Health - Health Status and Outcomes,920308,
920309 Pacific Peoples Health - Health System Performance (incl. Effectiveness of Interventions),920309,
920399 Indigenous Health not elsewhere classified,920399,
920401 Behaviour and Health,920401,
920402 Dental Health,920402,
920403 Disability and Functional Capacity,920403,
920404 Disease Distribution and Transmission (incl. Surveillance and Response),920404,
920405 Environmental Health,920405,
920406 Food Safety,920406,
920407 Health Protection and/or Disaster Response,920407,
920408 Health Status (e.g. Indicators of Well-Being),920408,
920409 Injury Control,920409,
920410 Mental Health,920410,
920411 Nutrition,920411,
920412 Preventive Medicine,920412,
920413 Social Structure and Health,920413,
920414 Substance Abuse,920414,
920499 Public Health (excl. Specific Population Health) not elsewhere classified,920499,
920501 Child Health,920501,
920502 Health Related to Ageing,920502,
920503 Health Related to Specific Ethnic Groups,920503,
920504 Men's Health,920504,
920505 Occupational Health,920505,
920506 Rural Health,920506,
